SortKey,Fire_year,Plot_#,Yr_Plot,Subplot_NE/SW,Date,Shrub_1_species,Shrub_1_%cover,Shrub_2_species,Shrub_2_%cover,Shrub_3_species,Shrub_3_%cover,Total_shrub_%cover,Shrubs_Mean_height_m,Shrubs_Max_height_m,Herbs_%cover,Graminoid_%cover,
137,2013,0,2013_0,SW,10/16/2017,none,0,,,,,0,0,0,30,75,
138,2013,0,2013_0,NE,10/16/2017,none,0,,,,,0,0,0,3,0,
311,2014,0,2014_0,S,6/17/2018,none,0,,,,,0,0,0,70,10,
312,2014,0,2014_0,W,6/17/2018,none,0,,,,,0,0,0,30,6,
313,2014,0,2014_0,N,6/17/2018,Salix,8,,,,,8,1,1.3,7,3,
314,2014,0,2014_0,E,6/17/2018,SPBE,10,,,,,10,0.5,5,25,4,
1,2012,1,2012_1,NE,8/23/2016,Salix,1,RIVI,1,,,2,0,0.2,3,1,
2,2012,1,2012_1,SW,8/23/2016,Salix,1,RIVI,1,UNK,1,3,0,0.3,10,1,
139,2013,1,2013_1,NE,10/16/2017,BENE,2,CEVE,1,Ribes,1,4,0.5,0.4,7,30,
140,2013,1,2013_1,SW,10/16/2017,SYAL,4,CEVE,0.4,Ribes,0.3,5,0,0.3,25,5,
141,2013,2,2013_2,NE,10/17/2017,SPBE,2,,,,,2,0,0.2,2,5,
142,2013,2,2013_2,SW,10/17/2017,SPBE,1,,,,,1,0,0.2,3,2,
235,2014,2,2014_2,W,6/6/2018,none,0,,,,,0,0,0,35,10,
236,2014,2,2014_2,N,6/6/2018,none,0,,,,,0,0,0,50,20,
237,2014,2,2014_2,E,6/6/2018,none,0,,,,,0,0,0,30,30,
238,2014,2,2014_2,S,6/6/2018,none,0,,,,,0,0,0,30,10,
143,2013,3,2013_3,NE,10/17/2017,CEVE,8,,,,,8,0,0.3,15,7,
144,2013,3,2013_3,SW,10/17/2017,CEVE,15,,,,,15,0.5,0.5,20,6,
315,2014,4,2014_4,E,6/17/2018,SPBE,0.1,,,,,0.1,0.2,0.2,20,30,
316,2014,4,2014_4,N,6/17/2018,none,0,,,,,0,0,0,10,10,
317,2014,4,2014_4,W,6/17/2018,none,0,,,,,0,0,0,50,10,
318,2014,4,2014_4,S,6/17/2018,none,0,,,,,0,0,0,40,35,
239,2014,7,2014_7,E,6/6/2018,none,0,,,,,0,0,0,30,25,
240,2014,7,2014_7,S,6/6/2018,SARA,5,,,,,5,0.9,0.9,20,25,
241,2014,7,2014_7,W,6/6/2018,none,0,,,,,0,0,0,65,5,
242,2014,7,2014_7,N,6/6/2018,none,0,,,,,0,0,0,60,10,
387,2014,12,2014_12,E,6/28/2018,none,0,,,,,0,0,0,5,2,
388,2014,12,2014_12,S,6/28/2018,ACGL,5,RIVI,2,,,7,0.5,0.5,70,80,
389,2014,12,2014_12,W,6/28/2018,Salix,5,RIVI,5,SPBE,20,30,0.5,0.65,20,30,
390,2014,12,2014_12,N,6/28/2018,Salix,5,SPBE,5,,,10,0.5,0.5,20,20,
395,2014,18,2014_18,N,6/29/2018,CEVE,1,SPBE,1,,,2,0.5,0.55,60,15,
396,2014,18,2014_18,E,6/29/2018,Salix,5,,,,,5,0.4,0.4,65,10,
397,2014,18,2014_18,S,6/29/2018,CEVE,20,SPBE,5,Salix,3,28,0.5,0.95,55,20,
398,2014,18,2014_18,W,6/29/2018,none,0,,,,,0,0,0,20,10,
371,2014,24,2014_24,E,6/20/2018,CEVE,40,AMAL,20,BEAQ,10,70,0.5,0.9,20,10,
372,2014,24,2014_24,N,6/20/2018,AMAL,35,ROGY,20,CEVE,7,62,0.5,1,20,1,
373,2014,24,2014_24,W,6/20/2018,CEVE,20,,,,,20,0.5,1.15,15,2,
374,2014,24,2014_24,S,6/20/2018,SYAL,30,ROGY,15,,,45,0.5,1.2,25,10,
3,2012,32,2012_32,NE,8/31/2016,Salix,8,VASC,1,,,9,0.5,1.1,50,0,
4,2012,32,2012_32,SW,8/31/2016,Salix,6,VASC,1,,,7,0,0.6,20,2,
107,2013,32,2013_32,SW,9/27/2017,none,0,,,,,0,0,0,0,70,
108,2013,32,2013_32,NE,9/27/2017,none,0,,,,,0,0,0,0.3,90,
339,2014,34,2014_34,N,6/18/2018,none,0,,,,,0,0,0,35,55,
340,2014,34,2014_34,E,6/18/2018,CEVE,2,,,,,2,0.5,0.5,45,50,
341,2014,34,2014_34,S,6/18/2018,none,0,,,,,0,0,0,75,4,
342,2014,34,2014_34,W,6/18/2018,none,0,,,,,0,0,0,40,50,
5,2012,35,2012_35,NE,8/23/2016,VASC,14,Salix,5,RIVI,2,21,0,0.9,25,4,
6,2012,35,2012_35,SW,8/23/2016,Salix,6,RIVI,3,VASC,3,12,0.5,1.2,15,10,
271,2014,35,2014_35,N,6/14/2018,none,0,,,,,0,0,0,30,80,
272,2014,35,2014_35,W,6/14/2018,SYAL,1,RICE,1,,,2,0.3,0.5,25,85,
273,2014,35,2014_35,S,6/14/2018,CEVE,1,RICE,1,,,2,0.09,0.1,10,60,
274,2014,35,2014_35,E,6/14/2018,SPBE,15,,,,,15,0.35,0.5,15,85,
255,2014,37,2014_37,S,6/14/2018,Ribes,2,AMAL,2,SPBE,0.1,4,0.5,1.2,25,0,
256,2014,37,2014_37,N,6/14/2018,SYAL,15,Ribes,4,,,20,0.5,0.5,50,25,
257,2014,37,2014_37,W,6/14/2018,SYAL,3,Ribes,1,,,4,0.5,0.8,20,1,
258,2014,37,2014_37,E,6/14/2018,SYAL,10,Ribes,7,AMAL,0.1,17,0.5,0.7,30,30,
263,2014,41,2014_41,E,6/14/2018,SYAL,6,ARTR,20,,,26,0.7,1,15,60,
264,2014,41,2014_41,S,6/14/2018,SYAL,7,AMAL,2,RICE,1,10,0.5,0.6,25,50,
265,2014,41,2014_41,W,6/14/2018,PETR,7,,,,,7,0.7,0.8,35,40,
266,2014,41,2014_41,N,6/14/2018,PETR,10,RICE,5,ARTR,10,25,0.7,1.05,15,25,
105,2013,47,2013_47,SW,9/27/2017,SYAL,65,Rosa,5,,,70,0.5,1.1,25,30,
106,2013,47,2013_47,NE,9/27/2017,SYAL,45,Rosa,5,,,50,0.5,0.8,10,40,
299,2014,55,2014_55,S,6/16/2018,SYAL,2,,,,,2,0.5,0.55,5,20,
300,2014,55,2014_55,W,6/16/2018,BEAQ,5,SYAL,10,,,15,0.5,0.85,20,20,
301,2014,55,2014_55,N,6/16/2018,SYAL,45,,,,,45,0.5,0.9,15,5,
302,2014,55,2014_55,E,6/16/2018,SYAL,80,,,,,80,1,1.2,5,0,
91,2013,57,2013_57,SW,9/25/2017,CEVE,20,APAN,1,,,21,0.5,0.4,50,45,
92,2013,57,2013_57,NE,9/25/2017,CEVE,5,APAN,1,,,6,0.5,0.6,65,70,
95,2013,58,2013_58,NE,9/26/2017,none,0,,,,,0,0,0,3,90,
96,2013,58,2013_58,SW,9/26/2017,none,0,,,,,0,0,0,2,95,
89,2013,59,2013_59,SW,9/25/2017,AMAL,0.1,,,,,0.1,0.5,0.7,30,55,
90,2013,59,2013_59,NE,9/25/2017,RIVI,0.1,Rosa,0.1,Salix,0.1,2,0.5,0.5,65,80,
99,2013,60,2013_60,SW,9/26/2017,Rosa,0.5,,,,,0.5,0.5,0.5,2,80,
100,2013,60,2013_60,NE,9/26/2017,Salix,0.1,,,,,0.1,0.5,0.4,5,60,
97,2013,62,2013_62,NE,9/26/2017,none,0,,,,,0,0,0,2,3,
98,2013,62,2013_62,SW,9/26/2017,none,0,,,,,0,0,0,15,4,
335,2014,65,2014_65,E,6/18/2018,ROWO,22,SPBE,30,,0,50,0.5,0.7,25,8,
336,2014,65,2014_65,N,6/18/2018,Salix,3,ROWO,3,SPBE,1,7,0.2,0.2,30,18,
337,2014,65,2014_65,W,6/18/2018,ROWO,6,SPBE,14,Salix,3,23,0.5,0.7,20,10,
338,2014,65,2014_65,S,6/18/2018,Salix,40,ROWO,8,,0,48,0.5,0.9,30,5,
323,2014,67,2014_67,E,6/17/2018,SPBE,30,AMAL,15,,,45,1,2.8,70,12,
324,2014,67,2014_67,S,6/17/2018,Salix,20,,,,,20,0.5,0.8,70,2,
325,2014,67,2014_67,W,6/17/2018,none,0,,,,,0,0,0,30,10,
326,2014,67,2014_67,N,6/17/2018,RIVI,5,,,,,5,0.2,0.3,50,15,
103,2013,68,2013_68,SW,9/27/2017,Rosa,0.1,,,,,0.1,0.5,0.3,35,85,
104,2013,68,2013_68,NE,9/27/2017,RILA,3,Rosa,0.1,,,3,0.5,0.9,4,65,
101,2013,69,2013_69,SW,9/27/2017,SPBE,0.5,ARTR,0.3,,,0.8,1,1.8,25,35,
102,2013,69,2013_69,NE,9/27/2017,SPBE,15,HODI,2,,,17,0.5,0.8,3,7,
7,2012,70,2012_70,SW,8/15/2016,PAMY,25,Vaccinium,15,Salix,8,50,0.5,1.5,7,8,
8,2012,70,2012_70,NE,8/15/2016,PAMY,30,RIVI,2,Vaccinium,2,34,0.5,0.6,10,15,
93,2013,73,2013_73,SW,9/26/2017,AMAL,0.1,,,,,0.1,0.5,0.4,45,90,
94,2013,73,2013_73,NE,9/26/2017,AMAL,1,HODI,0.1,Rosa,0.1,1,0.5,0.5,15,60,
295,2014,77,2014_77,S,6/16/2018,SYAL,15,RIHU,3,,,18,1,1.1,30,35,
296,2014,77,2014_77,E,6/16/2018,SYAL,8,,,,,8,0.5,0.8,45,70,
297,2014,77,2014_77,N,6/16/2018,SYAL,4,,,,,4,0.5,0.6,45,65,
298,2014,77,2014_77,W,6/16/2018,RIHU,1,SYAL,5,,,0,0.5,0.5,30,50,
275,2014,92,2014_92,N,6/15/2018,none,0,,,,,0,0,0,80,30,
276,2014,92,2014_92,E,6/15/2018,none,0,,,,,0,0,0,20,15,
277,2014,92,2014_92,S,6/15/2018,ARTR,3,,,,,3,0.5,0.5,50,25,
278,2014,92,2014_92,W,6/15/2018,none,0,,,,,0,0,0,60,15,
303,2014,93,2014_93,S,6/16/2018,none,0,,,,,0,0,0,25,0,
304,2014,93,2014_93,W,6/16/2018,Rosa,15,SPBE,5,,,20,0.5,0.6,30,3,
305,2014,93,2014_93,N,6/16/2018,SPBE,35,AMAL,15,,,50,0.5,0.7,30,15,
306,2014,93,2014_93,E,6/16/2018,AMAL,15,SPDE,5,,,20,0.5,0.7,25,0,
259,2014,94,2014_94,S,6/14/2018,SYAL,7,RICE,1,,,8,0.5,0.5,60,5,
260,2014,94,2014_94,W,6/14/2018,SYAL,15,CHNA,1,,,16,0.5,0.6,30,40,
261,2014,94,2014_94,N,6/14/2018,AMAL,20,CHNA,15,,,35,1,1.3,25,20,
262,2014,94,2014_94,E,6/14/2018,AMAL,5,CHNA,1,,,6,0.5,0.9,65,55,
109,2013,96,2013_96,SW,9/28/2017,CEVE ,20,Rosa ,0.3,SYAL ,0.1,20.4,0.5,0.5,7,85,
110,2013,96,2013_96,NE,9/28/2017,CEVE,30,ARTR,0.1,,,30.1,0.5,0.6,5,75,
399,2014,98,2014_98,E,6/29/2018,SYAL,10,AMAL,10,BEAQ,7,27,0.5,0.75,70,10,
400,2014,98,2014_98,S,6/29/2018,SYAL,15,BEAQ,10,,,25,0.5,0.6,35,40,
401,2014,98,2014_98,W,6/29/2018,BEAQ,5,CEVE,2,,,7,0.4,0.4,25,80,
402,2014,98,2014_98,N,6/29/2018,SYAL,15,BEAQ,10,AMAL,5,30,0.5,0.8,55,30,
307,2014,99,2014_99,N,6/16/2018,none,0,,,,,0,0,0,15,15,
308,2014,99,2014_99,E,6/16/2018,none,0,,,,,0,0,0,20,25,
309,2014,99,2014_99,S,6/16/2018,SPBE,35,AMAL,2,,,37,0.5,1,30,20,
310,2014,99,2014_99,W,6/16/2018,SPBE,4,AMAL,1,,,5,0.5,0.4,20,4,
11,2012,100,2012_100,NE,8/25/2016,RIVI,6,VASC,12,SACA,2,20,0,0.8,35,35,
12,2012,100,2012_100,SW,8/25/2016,VASC,9,Salix,1,RIVI,1,11,0,0.3,15,30,
13,2012,102,2012_102,NE,8/29/2016,CEVE,1,,,,,1,0,0.3,60,1,
14,2012,102,2012_102,SW,8/29/2016,PEFR,1,Prunus,1,RIVI,1,2,0,0.2,20,45,
383,2014,110,2014_110,S,6/28/2018,Salix,40,SPDE,15,CEVE,10,70,0.5,0.75,40,20,
384,2014,110,2014_110,W,6/28/2018,Salix,25,SPDE,25,,,50,0.5,0.6,35,10,
385,2014,110,2014_110,N,6/28/2018,Salix,24,CEVE,20,SPDE,3,50,0.5,0.8,30,20,
386,2014,110,2014_110,E,6/28/2018,Salix,20,SPDE,20,CEVE,1,1,0.5,0.95,25,20,
391,2014,113,2014_113,N,6/29/2018,RILA,8,AMAL,5,SOSC,5,18,0.5,0.6,85,15,
392,2014,113,2014_113,E,6/29/2018,Salix,1,,,,,1,0.65,0.65,70,35,
393,2014,113,2014_113,S,6/29/2018,none,0,,,,,0,0,0,30,70,
394,2014,113,2014_113,W,6/29/2018,Salix,3,,,,,3,0.3,0.3,20,30,
17,2012,114,2012_114,NE,8/23/2016,Salix,6,RIVI,1,VASC,1,8,0,0.7,15,2,
18,2012,114,2012_114,SW,8/23/2016,Salix,6,RIVI,3,VASC,3,12,0.5,1,45,8,
319,2014,115,2014_115,N,6/17/2018,CEVE,7,Salix,3,,,10,0.5,0.5,35,25,
320,2014,115,2014_115,E,6/17/2018,SYAL,3,CEVE,2,PEFR,0.1,5,0.5,0.4,50,10,
321,2014,115,2014_115,S,6/17/2018,CEVE,1,,,,,1,0.5,0.25,60,17,
322,2014,115,2014_115,W,6/17/2018,SYAL,25,CEVE,0.1,,,25,0.5,0.75,35,12,
19,2012,124,2012_124,SW,8/30/2016,PEFR,1,,,,,1,0,0.2,8,19,
20,2012,124,2012_124,NE,8/30/2016,ARTR ,1,,,,,1,0,0.2,15,7,
347,2014,125,2014_125,E,6/19/2018,CEVE,30,,,,,30,0.5,0.7,20,80,
348,2014,125,2014_125,N,6/19/2018,CEVE,20,,,,,20,0.5,0.65,20,25,
349,2014,125,2014_125,W,6/19/2018,CEVE,8,,,,,8,0.5,0.85,25,35,
350,2014,125,2014_125,S,6/19/2018,CEVE,5,,,,,5,0.5,0.6,30,70,
21,2012,130,2012_130,NE,8/24/2016,Salix,6,SACA,3,RILA,2,10,1,1.5,90,1,
22,2012,130,2012_130,SW,8/24/2016,RILA,10,RUPA,6,SACA,3,19,0.5,0.9,55,4,
125,2013,130,2013_130,NE,10/5/2017,SARA,4,,,,,4,1,1.1,3,0.1,
126,2013,130,2013_130,SW,10/5/2017,Salix,0.1,SARA,1,Vaccinium,0.1,1.2,0.5,0.6,1,0.1,
127,2013,131,2013_131,SW,10/5/2017,Salix,0.1,,,,,0.1,0,0.2,6,35,
128,2013,131,2013_131,NE,10/5/2017,UNK,0.1,,,,,0.1,0,0.3,3,60,
343,2014,132,2014_132,E,6/19/2018,none,0,,,,,0,0,0,60,50,
344,2014,132,2014_132,S,6/19/2018,AMAL,5,,,,,5,0.5,1.05,65,60,
345,2014,132,2014_132,W,6/19/2018,none,0,,,,,0,0,0,10,90,
346,2014,132,2014_132,N,6/19/2018,none,0,,,,,0,0,0,45,30,
129,2013,134,2013_134,SW,10/5/2017,Ribes,5,RILA,0.1,Salix,0.1,5.2,0,0.3,1,4,
130,2013,134,2013_134,NE,10/5/2017,RILA,2,Salix,2,Ribes,1,5,0,0.5,3,3,
123,2013,138,2013_138,SW,10/5/2017,Salix,10,,,,,10,0.5,0.4,25,4,
124,2013,138,2013_138,NE,10/5/2017,Salix,4,,,,,4,0,0.3,35,40,
119,2013,146,2013_146,SW,10/4/2017,HODI,6,Salix,1,,,7,0.5,0.8,2,70,
120,2013,146,2013_146,NE,10/4/2017,HODI,20,SYAL,15,SPBE,5,70,1,3,5,10,
23,2012,147,2012_147,NE,8/30/2016,PRVI,15,Salix,2,,,15,0.5,0.6,20,4,
24,2012,147,2012_147,SW,8/30/2016,PRVI,15,Salix,8,RIVI,1,25,0.5,1.5,25,1,
25,2012,150,2012_150,NE,9/13/2016,CEVE,1,PRPE ,1,,,2,0,0.1,5,15,
26,2012,150,2012_150,SW,9/13/2016,PRPE,2,PAMY,1,Salix,1,4,0,0.4,7,10,
117,2013,151,2013_151,SW,10/4/2017,CEVE,15,,,,,15,0.5,0.7,25,60,
118,2013,151,2013_151,NE,10/4/2017,CEVE,1,,,,,1,0.5,0.4,35,75,
131,2013,153,2013_153,NE,10/6/2017,CEVE,3,SYAL,1,,,4,0,0.2,5,85,
132,2013,153,2013_153,SW,10/6/2017,CEVE,5,Prunus,2,SYAL,1,6,0,0.4,5,80,
367,2014,156,2014_156,S,6/19/2018,none,0,,,,,0,0,0,40,60,
368,2014,156,2014_156,W,6/19/2018,RICE,5,,,,,5,0.5,0.65,5,5,
369,2014,156,2014_156,N,6/19/2018,none,0,,,,,0,0,0,20,65,
370,2014,156,2014_156,E,6/19/2018,none,0,,,,,0,0,0,20,75,
113,2013,159,2013_159,SW,10/3/2017,CEVE,15,SYAL,0.1,,,15,0.5,0.4,70,25,
114,2013,159,2013_159,NE,10/3/2017,CEVE,15,,,,,15,0.5,0.4,60,50,
283,2014,159,2014_159,N,6/15/2018,Salix,5,SPBE,1,SHCA,3,9,0.5,0.8,20,3,
284,2014,159,2014_159,W,6/15/2018,SPBE,20,Salix,4,,,24,0.5,0.5,15,5,
285,2014,159,2014_159,E,6/15/2018,Salix,5,SPBE,10,,,15,0.5,1.1,25,0,
286,2014,159,2014_159,S,6/15/2018,Salix,6,SPBE,1,,,7,0.5,0.7,35,2,
115,2013,160,2013_160,NE,10/3/2017,none,0,,,,,0,0,0,50,55,
116,2013,160,2013_160,SW,10/3/2017,HODI,1,,,,,1,0.5,0.3,30,75,
111,2013,161,2013_161,SW,10/3/2017,CEVE,9,SYAL,1,,,10,0.5,0.4,45,65,
112,2013,161,2013_161,NE,10/3/2017,CEVE,25,SYAL,0.1,,,25.1,0.5,0.5,35,55,
403,2014,164,2014_164,N,6/29/2018,SPBE,70,AMAL,10,ACGL,5,87,0.5,0.8,30,2,
404,2014,164,2014_164,E,6/29/2018,CEVE,40,SPBE,30,Salix,25,95,0.5,1.95,10,10,
405,2014,164,2014_164,S,6/29/2018,SPBE,70,ACGL,25,CEVE,15,110,0.5,2.8,5,0,
406,2014,164,2014_164,W,6/29/2018,SPBE,30,AMAL,20,CEVE,15,70,1,1.1,5,5,
121,2013,166,2013_166,SW,10/4/2017,none,0,,,,,0,0,0,90,60,
122,2013,166,2013_166,NE,10/4/2017,none,0,,,,,0,0,0,75,85,
407,2014,169,2014_169,E,6/30/2018,SPBE,8,AMAL,4,CEVE,2,14,0.5,0.55,30,2,
408,2014,169,2014_169,S,6/30/2018,CEVE,10,,,,,10,0.5,0.5,85,15,
409,2014,169,2014_169,W,6/30/2018,CEVE,40,AMAL,5,,,45,0.5,0.95,70,10,
410,2014,169,2014_169,N,6/30/2018,CEVE,5,,,,,5,0.2,0.2,45,10,
411,2014,170,2014_170,W,6/30/2018,Salix,30,,,,,30,1.5,3.3,45,35,
412,2014,170,2014_170,N,6/30/2018,Salix,25,,,,,25,0.5,0.7,85,15,
413,2014,170,2014_170,E,6/30/2018,Salix,15,,,,,15,0.5,0.8,90,5,
414,2014,170,2014_170,S,6/30/2018,Salix,5,,,,,5,0.5,0.5,65,30,
279,2014,174,2014_174,E,6/15/2018,SPBE,4,,,,,4,0.5,0.5,30,10,
280,2014,174,2014_174,S,6/15/2018,Salix,7,SPBE,7,,,14,0.5,0.6,45,1,
281,2014,174,2014_174,W,6/15/2018,SPBE,20,SHCA,3,Salix,15,38,0.5,0.6,50,5,
282,2014,174,2014_174,N,6/15/2018,AMAL,2,SHCA,2,SPBE,7,11,0.5,0.4,35,3,
287,2014,175,2014_175,S,6/15/2018,SPBE,20,,,,,20,0.3,0.4,30,25,
288,2014,175,2014_175,N,6/15/2018,SPBE,30,PAMY,15,,,45,0.2,0.45,25,15,
289,2014,175,2014_175,W,6/15/2018,Salix,15,SPBE,10,,,25,0.4,0.7,15,5,
290,2014,175,2014_175,E,6/15/2018,SPBE,10,SHCA,10,,,20,0.2,0.4,25,2,
231,2014,177,2014_177,W,6/5/2018,none,0,,,,,0,0,0,45,60,
232,2014,177,2014_177,N,6/5/2018,ROGY,0.1,SYAL,0.1,AMAL,0.1,1,0.5,0.2,30,60,
233,2014,177,2014_177,E,6/5/2018,none,0,,,,,0,0,0,25,50,
234,2014,177,2014_177,S,6/5/2018,none,0,,,,,0,0,0,25,45,
247,2014,183,2014_183,E,6/7/2018,HODI,1,SARA,5,UNK,1,7,0.4,1,15,25,
248,2014,183,2014_183,S,6/7/2018,SYAL,2,UNK,20,SARA,10,33,0.7,1.4,30,15,
249,2014,183,2014_183,W,6/7/2018,UNK,10,,,,,10,0.3,0.5,15,60,
250,2014,183,2014_183,N,6/7/2018,SARA,5,BEAQ,5,RULE,4,17,0.8,1.1,15,8,
327,2014,188,2014_188,E,6/18/2018,CEVE,8,,,,,8,0.5,0.45,35,4,
328,2014,188,2014_188,S,6/18/2018,CEVE,30,,,,,30,1,1,30,3,
329,2014,188,2014_188,W,6/18/2018,CEVE,15,,,,,15,0.5,0.6,22,6,
330,2014,188,2014_188,N,6/18/2018,AMAL,5,,,,,5,1,1.2,40,15,
375,2014,190,2014_190,N,6/28/2018,Salix,20,CEVE,15,,,35,0.5,0.8,75,20,
376,2014,190,2014_190,E,6/28/2018,Salix,15,SPDE,15,CEVE,5,35,0.5,1.3,40,45,
377,2014,190,2014_190,S,6/28/2018,Salix,30,CEVE,5,,,35,0.5,1.1,55,35,
378,2014,190,2014_190,W,6/28/2018,CEVE,35,Salix,7,,,42,0.5,0.8,40,60,
27,2012,212,2012_212,,8/25/2016,RIVI,4,CHUM,1,,,5,0,0.5,6,7,
28,2012,212,2012_212,,8/25/2016,RIVI,10,SACA,1,Salix ,1,12,0.5,0.9,15,1,
379,2014,217,2014_217,S,6/28/2018,Salix,70,,,,,70,0.5,0.75,10,0,
380,2014,217,2014_217,W,6/28/2018,Salix,85,,,,,85,0.5,0.95,15,0,
381,2014,217,2014_217,N,6/28/2018,Salix,80,,,,,80,0.5,0.9,0,0,
382,2014,217,2014_217,E,6/28/2018,Salix,80,,,,,80,0.5,0.95,15,0,
29,2012,227,2012_227,SW,8/16/2016,Salix,5,Ribes,3,HODI,1,9,0.5,1.3,50,2,
30,2012,227,2012_227,NE,8/16/2016,Ribes,2,,,,,2,0.5,0.4,3,8,
31,2012,232,2012_232,NE,8/16/2016,Salix,7,RILA,1,Ribes ,4,12,0.5,0.7,45,30,
